iter	Passed	Remaining
581	1603	3906
582	1605	3901
583	1609	3901
584	1612	3899
585	1614	3895
586	1616	3891
587	1619	3888
588	1622	3886
589	1624	3882
590	1626	3878
591	1629	3875
592	1631	3870
593	1635	3870
594	1637	3867
595	1639	3861
596	1641	3857
597	1642	3851
598	1644	3846
599	1648	3846
600	1650	3841
601	1652	3836
602	1653	3831
603	1655	3826
604	1657	3821
605	1662	3824
606	1664	3820
607	1666	3815
608	1668	3810
609	1670	3807
610	1672	3802
611	1674	3797
612	1676	3792
613	1678	3788
614	1681	3786
615	1683	3781
616	1686	3780
617	1689	3777
618	1690	3772
619	1692	3767
620	1694	3762
621	1696	3757
622	1697	3752
623	1704	3758
624	1706	3755
625	1708	3750
626	1710	3745
627	1712	3742
628	1715	3739
629	1719	3739
630	1721	3734
631	1722	3729
632	1726	3727
633	1735	3739
634	1738	3736
635	1740	3731
636	1743	3730
637	1745	3727
638	1748	3725
639	1750	3720
640	1754	3720
641	1756	3715
642	1759	3712
643	1761	3708
644	1762	3703
645	1765	3700
646	1768	3697
647	1770	3693
648	1772	3689
649	1773	3683
650	1776	3680
651	1777	3675
652	1779	3671
653	1783	3670
654	1785	3666
655	1787	3661
656	1788	3656
657	1792	3655
658	1793	3650
659	1797	3649
660	1799	3645
661	1801	3640
662	1802	3635
663	1805	3632
664	1809	3632
665	1811	3627
666	1813	3623
667	1814	3618
668	1816	3614
669	1823	3620
670	1826	3617
671	1830	3617
672	1834	3617
673	1836	3614
674	1838	3609
675	1840	3604
676	1842	3600
677	1843	3595
678	1845	3591
679	1847	3587
680	1850	3583
681	1851	3578
682	1853	3574
683	1856	3571
684	1862	3575
685	1864	3571
686	1866	3567
687	1868	3563
688	1870	3558
689	1874	3559
690	1876	3554
691	1878	3550
692	1880	3546
693	1882	3542
694	1884	3537
695	1888	3538
696	1890	3533
697	1892	3529
698	1893	3525
699	1896	3521
700	1901	3522
701	1903	3519
702	1905	3515
703	1907	3510
704	1908	3506
705	1911	3503
706	1916	3504
